App,Version,Package,AndroidVersion,minSdkVersion,Landroid/app/job/JobInfo/Builder;->build,Lcom/google/android/gms/gcm/PeriodicTask/Builder;->build,Lcom/google/android/gms/gcm/OneoffTask/Builder;->build,Landroid/app/AlarmManager;->setWindow,Landroid/app/AlarmManager;->setExact,Landroid/app/AlarmManager;->setExactAndAllowWhileIdle,Landroid/app/AlarmManager;->setInexactRepeating,Landroid/app/AlarmManager;->setRepeating,Landroid/app/AlarmManager;->set,Landroid/app/AlarmManager;->setAndAllowWhileIdle,Landroid/app/AlarmManager;->setAlarmClock,Landroid/os/Handler;->post,Landroid/os/Handler;->postDelayed,Landroid/os/Handler;->sendEmptyMessage,Landroid/os/Handler;->sendMessage,Landroid/os/Handler;->sendMessageAtTime,Landroid/os/Handler;->sendMessageDelayed
net.endoftime.android.forumrunner.expatforum,1.3.18,net.endoftime.android.forumrunner,,3,0,0,0,0,0,0,0,0,1,0,0,7,6,0,5,0,0
net.nafocs.discryfree,1.01,net.nafocs.discryfree,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
net.surveyswipe.android.ui,5.2,net.surveyswipe.android.ui,19,11,0,0,0,0,0,0,3,5,2,0,0,50,9,12,29,0,11
net.xbound.weddingnasheeds,1.4,net.xbound.weddingnasheeds,19,9,0,0,0,0,0,0,0,0,0,0,0,42,9,6,13,0,11
net.xisberto.work_schedule,1.4.3,net.xisberto.work_schedule,,7,0,0,0,0,1,0,0,0,2,0,0,6,4,2,0,0,0
one.dot.fm,1.51,one.dot.fm,,11,0,0,0,0,0,0,0,0,0,0,0,41,9,6,40,0,9
org.antimovigliotta.palermotour,3,org.antimovigliotta.palermotour,,3,0,0,0,0,0,0,0,0,0,0,0,3,1,6,0,0,0
org.girlgames.hairsalon.magic,1.5,org.girlgames.hairsalon.magic,,9,0,0,0,0,0,0,0,0,1,0,0,109,52,6,11,0,28
org.qmags.com.netassets,1.1,org.qmags.com.netassets,,8,0,0,0,0,0,0,0,0,0,0,0,19,5,5,44,0,2
org.startsmall.bozaalarm,4.14,org.startsmall.bozaalarm,,14,0,0,0,0,0,0,0,0,1,0,0,3,4,3,0,0,0
org.telegram.messenger.erick,17.9.2,org.telegram.messenger.erick,22,8,0,0,0,0,0,0,0,0,3,0,0,50,50,15,23,0,12
radio.live,1,radio.live,,7,0,0,0,0,0,0,0,0,0,0,0,30,11,6,23,0,10
ru.SergeBobrovsky.Razvedchiki,1.0,ru.SergeBobrovsky.Razvedchiki,,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ru.webvo.book.AOTOQFRCIREYEIOK,1.0,com.appmk.book.main,,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
silvandir.book.apks.AOTZKCVSSMXPRDZQ,1.0,com.appmk.book.main,,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
tsou.mobilecq.activity,2.2,tsou.mobilecq.activity,,8,0,0,0,0,0,0,0,1,2,0,0,57,19,45,47,2,2
uk.ac.southwales.myfuture,1.1.2,uk.ac.southwales.myfuture,,9,0,0,0,0,0,0,1,0,2,0,0,16,4,9,12,0,2
vn.sieuweb.tamngon3,1.7,vn.sieuweb.tamngon3,,14,0,0,0,0,0,0,0,0,0,0,0,43,18,6,10,0,11
